year,month,grade,pay_row,pay_col,pay
0,1,O1,10,1,3477.3
0,2,O1,10,1,3477.3
0,3,O1,10,1,3477.3
0,4,O1,10,1,3477.3
0,5,O1,10,1,3477.3
0,6,O1,10,1,3477.3
0,7,O1,10,1,3477.3
0,8,O1,10,1,3477.3
0,9,O1,10,1,3477.3
0,10,O1,10,1,3477.3
0,11,O1,10,1,3477.3
0,12,O1,10,1,3477.3
1,1,O1,10,1,3477.3
1,2,O1,10,1,3477.3
1,3,O1,10,1,3477.3
1,4,O1,10,1,3477.3
1,5,O1,10,1,3477.3
1,6,O2,9,1,4006.5
1,7,O2,9,1,4006.5
1,8,O2,9,1,4006.5
1,9,O2,9,1,4006.5
1,10,O2,9,1,4006.5
1,11,O2,9,1,4006.5
1,12,O2,9,1,4006.5
2,1,O2,9,2,4562.7
2,2,O2,9,2,4562.7
2,3,O2,9,2,4562.7
2,4,O2,9,2,4562.7
2,5,O2,9,2,4562.7
2,6,O2,9,2,4562.7
2,7,O2,9,2,4562.7
2,8,O2,9,2,4562.7
2,9,O2,9,2,4562.7
2,10,O2,9,2,4562.7
2,11,O2,9,2,4562.7
2,12,O2,9,2,4562.7
3,1,O2,9,3,5255.1
3,2,O2,9,3,5255.1
3,3,O2,9,3,5255.1
3,4,O2,9,3,5255.1
3,5,O2,9,3,5255.1
3,6,O2,9,3,5255.1
3,7,O2,9,3,5255.1
3,8,O2,9,3,5255.1
3,9,O2,9,3,5255.1
3,10,O2,9,3,5255.1
3,11,O2,9,3,5255.1
3,12,O2,9,3,5255.1
4,1,O3,8,4,6185.4
4,2,O3,8,4,6185.4
4,3,O3,8,4,6185.4
4,4,O3,8,4,6185.4
4,5,O3,8,4,6185.4
4,6,O3,8,4,6185.4
4,7,O3,8,4,6185.4
4,8,O3,8,4,6185.4
4,9,O3,8,4,6185.4
4,10,O3,8,4,6185.4
4,11,O3,8,4,6185.4
4,12,O3,8,4,6185.4
5,1,O3,8,4,6185.4
5,2,O3,8,4,6185.4
5,3,O3,8,4,6185.4
5,4,O3,8,4,6185.4
5,5,O3,8,4,6185.4
5,6,O3,8,4,6185.4
5,7,O3,8,4,6185.4
5,8,O3,8,4,6185.4
5,9,O3,8,4,6185.4
5,10,O3,8,4,6185.4
5,11,O3,8,4,6185.4
5,12,O3,8,4,6185.4
6,1,O3,8,5,6482.1
6,2,O3,8,5,6482.1
6,3,O3,8,5,6482.1
6,4,O3,8,5,6482.1
6,5,O3,8,5,6482.1
6,6,O3,8,5,6482.1
6,7,O3,8,5,6482.1
6,8,O3,8,5,6482.1
6,9,O3,8,5,6482.1
6,10,O3,8,5,6482.1
6,11,O3,8,5,6482.1
6,12,O3,8,5,6482.1
7,1,O3,8,5,6482.1
7,2,O3,8,5,6482.1
7,3,O3,8,5,6482.1
7,4,O3,8,5,6482.1
7,5,O3,8,5,6482.1
7,6,O3,8,5,6482.1
7,7,O3,8,5,6482.1
7,8,O3,8,5,6482.1
7,9,O3,8,5,6482.1
7,10,O3,8,5,6482.1
7,11,O3,8,5,6482.1
7,12,O3,8,5,6482.1
8,1,O3,8,6,6807.3
8,2,O3,8,6,6807.3
8,3,O3,8,6,6807.3
8,4,O3,8,6,6807.3
8,5,O3,8,6,6807.3
8,6,O3,8,6,6807.3
8,7,O3,8,6,6807.3
8,8,O3,8,6,6807.3
8,9,O3,8,6,6807.3
8,10,O3,8,6,6807.3
8,11,O3,8,6,6807.3
8,12,O3,8,6,6807.3
9,1,O3,8,6,6807.3
9,2,O3,8,6,6807.3
9,3,O3,8,6,6807.3
9,4,O3,8,6,6807.3
9,5,O3,8,6,6807.3
9,6,O3,8,6,6807.3
9,7,O3,8,6,6807.3
9,8,O3,8,6,6807.3
9,9,O3,8,6,6807.3
9,10,O3,8,6,6807.3
9,11,O3,8,6,6807.3
9,12,O3,8,6,6807.3
10,1,O4,7,7,7891.8
10,2,O4,7,7,7891.8
10,3,O4,7,7,7891.8
10,4,O4,7,7,7891.8
10,5,O4,7,7,7891.8
10,6,O4,7,7,7891.8
10,7,O4,7,7,7891.8
10,8,O4,7,7,7891.8
10,9,O4,7,7,7891.8
10,10,O4,7,7,7891.8
10,11,O4,7,7,7891.8
10,12,O4,7,7,7891.8
11,1,O4,7,7,7891.8
11,2,O4,7,7,7891.8
11,3,O4,7,7,7891.8
11,4,O4,7,7,7891.8
11,5,O4,7,7,7891.8
11,6,O4,7,7,7891.8
11,7,O4,7,7,7891.8
11,8,O4,7,7,7891.8
11,9,O4,7,7,7891.8
11,10,O4,7,7,7891.8
11,11,O4,7,7,7891.8
11,12,O4,7,7,7891.8
12,1,O4,7,8,8284.5
12,2,O4,7,8,8284.5
12,3,O4,7,8,8284.5
12,4,O4,7,8,8284.5
12,5,O4,7,8,8284.5
12,6,O4,7,8,8284.5
12,7,O4,7,8,8284.5
12,8,O4,7,8,8284.5
12,9,O4,7,8,8284.5
12,10,O4,7,8,8284.5
12,11,O4,7,8,8284.5
12,12,O4,7,8,8284.5
13,1,O4,7,8,8284.5
13,2,O4,7,8,8284.5
13,3,O4,7,8,8284.5
13,4,O4,7,8,8284.5
13,5,O4,7,8,8284.5
13,6,O4,7,8,8284.5
13,7,O4,7,8,8284.5
13,8,O4,7,8,8284.5
13,9,O4,7,8,8284.5
13,10,O4,7,8,8284.5
13,11,O4,7,8,8284.5
13,12,O4,7,8,8284.5
14,1,O4,7,9,8557.5
14,2,O4,7,9,8557.5
14,3,O4,7,9,8557.5
14,4,O4,7,9,8557.5
14,5,O4,7,9,8557.5
14,6,O4,7,9,8557.5
14,7,O4,7,9,8557.5
14,8,O4,7,9,8557.5
14,9,O4,7,9,8557.5
14,10,O4,7,9,8557.5
14,11,O4,7,9,8557.5
14,12,O4,7,9,8557.5
15,1,O4,7,9,8557.5
15,2,O4,7,9,8557.5
15,3,O4,7,9,8557.5
15,4,O4,7,9,8557.5
15,5,O4,7,9,8557.5
15,6,O4,7,9,8557.5
15,7,O4,7,9,8557.5
