year,bond_return
1980,0.0271
1981,0.0625
1982,0.3262
1983,0.0835
1984,0.1515
1985,0.221
1986,0.1526
1987,0.0276
1988,0.0789
1989,0.1453
1990,0.0896
1991,0.16
1992,0.074
1993,0.0975
1994,-0.0292
1995,0.1846
1996,0.0364
1997,0.0964
1998,0.087
1999,-0.0082
2000,0.1163
2001,0.0843
2002,0.1023
2003,0.0363
2004,0.041
2005,0.0206
2006,0.0412
2007,0.0697
2008,0.0524
2009,0.0593
2010,0.0654
2011,0.0784
2012,0.0421
2013,-0.0202
2014,0.0597
2015,0.0114
2016,0.0325
2017,0.0354
2018,0.0001
2019,0.0872
2020,0.0376
2021,-0.015
