,AXP,AMGN,AAPL,BA,CAT,CSCO,CVX,GS,HD,HON,IBM,INTC,JNJ,KO,JPM,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,CRM,VZ,V,WBA,WMT,DIS,DOW
0,125.85,240.1,75.0875,333.32,150.53,48.42,121.43,234.32,219.66,180.79,129.46462715105162,60.84,145.97,54.99,141.09,200.79,180.0,87.82442748091603,160.62,102.2,123.41,137.51,292.5,166.99,61.05,191.12,59.08,118.94,148.2,53.75
1,124.6,238.47,74.3575,332.76,148.44,47.63,121.01,231.58,218.93,178.86,128.4321223709369,60.1,144.28,54.69,138.34,200.08,178.45,87.07061068702289,158.62,101.92,122.58,137.02,289.54,166.17,60.4,189.6,59.08,117.89,146.5,52.42
2,124.06,240.3,74.95,333.74,148.34,47.8,120.6,233.95,219.96,177.51,128.20267686424472,59.93,144.1,54.67,138.23,202.33,178.62,87.44274809160305,159.03,101.83,122.75,137.17,291.55,173.45,60.27,189.19,59.59,117.65,145.65,52.21
3,123.41,238.04,74.5975,337.28,146.38,47.49,119.06,235.49,218.52,177.61,128.2887189292543,58.93,144.98,54.25,135.88,202.63,177.9,85.1145038167939,157.58,101.78,121.99,135.16,289.79,176.0,59.6,188.69,59.29,116.56,145.7,52.19
4,125.54,238.22,75.7975,331.37,147.68,47.52,117.7,237.76,221.79,177.76,129.35946462715106,58.97,144.96,54.35,136.94,205.91,180.63,84.54198473282442,160.09,101.55,122.51,136.61,295.9,177.33,59.71,191.92,55.83,116.16,145.4,52.73
5,127.81,238.93,77.4075,336.34,147.31,47.32,117.51,242.6,225.19,179.07,130.7265774378585,59.3,145.39,55.34,137.44,208.35,181.2,85.28625954198472,162.09,101.48,123.85,137.62,294.22,179.6,58.85,193.25,54.68,117.36,144.83,52.19
6,127.28,238.26,77.5825,329.92,146.13,47.13,116.44,242.11,224.22,178.68,130.67877629063096,58.94,145.06,55.53,136.07,207.27,180.47,85.4293893129771,161.34,100.9,123.97,135.51,295.13,180.2,58.99,193.77,54.22,116.38,144.62,51.5
7,128.54,236.92,79.24,330.22,146.82,47.97,116.66,245.21,223.34,181.27,130.5927342256214,59.59,145.7,56.13,137.2,206.51,180.92,85.41030534351145,163.28,102.16,124.88,136.26,285.85,183.85,59.15,195.33,54.06,115.88,143.88,52.35
8,128.8,240.0,78.17,332.35,146.68,47.79,116.3,245.66,222.81,180.45,129.8470363288719,59.43,146.52,56.0,138.8,207.32,181.37,85.81106870229009,162.13,102.92,124.69,136.65,288.24,182.12,59.04,196.05,54.62,116.18,145.2,52.24
9,129.82,241.7,77.835,329.8,145.57,48.01,116.13,245.21,224.59,180.73,130.61185468451242,58.94,147.01,56.7,136.72,209.77,179.78,87.3473282442748,163.18,102.79,125.96,137.57,296.41,181.06,59.1,199.8,54.43,115.28,144.32,52.27
