,dname
0,alpha
1,anglit
2,arcsine
3,beta
4,betaprime
5,bradford
6,burr
7,burr12
8,cauchy
9,chi
10,chi2
11,cosine
12,dgamma
13,dweibull
14,erlang
15,expon
16,exponnorm
17,exponweib
18,exponpow
19,f
20,fatiguelife
21,fisk
22,foldcauchy
23,foldnorm
24,genlogistic
25,genpareto
26,gennorm
27,genexpon
28,genextreme
29,gausshyper
30,gamma
31,gengamma
32,genhalflogistic
33,gilbrat
34,gompertz
35,gumbel_r
36,gumbel_l
37,halfcauchy
38,halflogistic
39,halfnorm
40,halfgennorm
41,hypsecant
42,invgamma
43,invgauss
44,invweibull
45,johnsonsb
46,johnsonsu
47,kstwobign
48,laplace
49,levy
50,levy_l
51,logistic
52,loggamma
53,loglaplace
54,lognorm
55,lomax
56,maxwell
57,mielke
58,nakagami
59,ncx2
60,ncf
61,nct
62,norm
63,pareto
64,pearson3
65,powerlaw
66,powerlognorm
67,powernorm
68,rdist
69,reciprocal
70,rayleigh
71,rice
72,recipinvgauss
73,semicircular
74,t
75,triang
76,truncexpon
77,truncnorm
78,tukeylambda
79,uniform
80,vonmises
81,vonmises_line
82,wald
83,weibull_min
84,weibull_max
