Year,S&P 500,DJIA,Real Estate,bond_index,fixed_income,,,,,,,,,,,,,
1928,0.44,0.4822,0.0149,0.0322,0.0308,,,,,,,,,,,,,
1929,-0.08,-0.1717,-0.0206,0.0302,0.0316,,,,,,,,,,,,,
1930,-0.25,-0.3377,-0.043,0.0054,0.0455,,,,,,,,,,,,,
1931,-0.44,-0.5267,-0.0815,-0.1568,0.0231,,,,,,,,,,,,,
1932,-0.09,-0.2307,-0.1047,0.2359,0.0107,,,,,,,,,,,,,
1933,0.50,0.6669,-0.0381,0.1297,0.0096,,,,,,,,,,,,,
1934,-0.01,0.0414,0.0291,0.1882,0.0028,,,,,,,,,,,,,
1935,0.47,0.3853,0.0977,0.1331,0.0017,,,,,,,,,,,,,
1936,0.32,0.2482,0.0322,0.1138,0.0017,,,,,,,,,,,,,
1937,-0.35,-0.3282,0.0256,-0.0442,0.0028,,,,,,,,,,,,,
1938,0.29,0.2806,-0.0087,0.0924,0.0007,,,,,,,,,,,,,
1939,-0.01,-0.0292,-0.013,0.0798,0.0005,,,,,,,,,,,,,
1940,-0.11,-0.1272,0.0331,0.0865,0.0004,,,,,,,,,,,,,
1941,-0.13,-0.1538,-0.0838,0.0501,0.0013,,,,,,,,,,,,,
1942,0.19,0.0761,0.0333,0.0518,0.0034,,,,,,,,,,,,,
1943,0.25,0.1381,0.1145,0.0804,0.0038,,,,,,,,,,,,,
1944,0.19,0.1209,0.1658,0.0657,0.0038,,,,,,,,,,,,,
1945,0.36,0.2665,0.1178,0.068,0.0038,,,,,,,,,,,,,
1946,-0.08,-0.0814,0.241,0.0251,0.0038,,,,,,,,,,,,,
1947,0.05,0.0223,0.2126,0.0026,0.006,,,,,,,,,,,,,
1948,0.06,-0.0213,0.0206,0.0344,0.0105,,,,,,,,,,,,,
1949,0.18,0.1288,0.0009,0.0538,0.0112,,,,,,,,,,,,,
1950,0.31,0.1763,0.0364,0.0424,0.012,,,,,,,,,,,,,
1951,0.24,0.1437,0.0605,-0.0019,0.0152,,,,,,,,,,,,,
1952,0.18,0.0842,0.0441,0.0444,0.0172,,,,,,,,,,,,,
1953,-0.01,-0.0377,0.1152,0.0162,0.0189,,,,,,,,,,,,,
1954,0.53,0.4396,0.0092,0.0616,0.0094,,,,,,,,,,,,,
1955,0.33,0.2077,0,0.0204,0.0173,,,,,,,,,,,,,
1956,0.07,0.0227,0.0091,-0.0235,0.0263,,,,,,,,,,,,,
1957,-0.10,-0.1277,0.0272,-0.0072,0.0323,,,,,,,,,,,,,
1958,0.44,0.3396,0.0066,0.0643,0.0177,,,,,,,,,,,,,
1959,0.12,0.164,0.0011,0.0157,0.0339,,,,,,,,,,,,,
1960,0.00,-0.0934,0.0077,0.0666,0.0288,,,,,,,,,,,,,
1961,0.27,0.1871,0.0098,0.051,0.0235,,,,,,,,,,,,,
1962,-0.09,-0.1081,0.0032,0.065,0.0277,,,,,,,,,,,,,
1963,0.23,0.17,0.0214,0.0546,0.0316,,,,,,,,,,,,,
1964,0.16,0.1457,0.0126,0.0516,0.0355,,,,,,,,,,,,,
1965,0.12,0.1088,0.0166,0.0319,0.0395,,,,,,,,,,,,,
1966,-0.10,-0.1894,0.0122,-0.0345,0.0486,,,,,,,,,,,,,
1967,0.24,0.152,0.0232,0.009,0.0431,,,,,,,,,,,,,
1968,0.11,0.0427,0.0413,0.0485,0.0534,,,,,,,,,,,,,
1969,-0.08,-0.1519,0.0699,-0.0203,0.0667,,,,,,,,,,,,,
1970,0.04,0.0482,0.0822,0.0565,0.0639,,,,,,,,,,,,,
1971,0.14,0.0611,0.0424,0.14,0.0433,,,,,,,,,,,,,
1972,0.19,0.1458,0.0298,0.1141,0.0407,,,,,,,,,,,,,
1973,-0.14,-0.1658,0.0342,0.0432,0.0703,,,,,,,,,,,,,
1974,-0.26,-0.2757,0.1007,-0.0438,0.0783,,,,,,,,,,,,,
1975,0.37,0.3832,0.0677,0.1105,0.0578,,,,,,,,,,,,,
1976,0.24,0.1786,0.0818,0.1975,0.0497,,,,,,,,,,,,,
1977,-0.07,-0.1727,0.1465,0.0995,0.0527,,,,,,,,,,,,,
1978,0.07,-0.0315,0.1572,0.0314,0.0719,,,,,,,,,,,,,
1979,0.19,0.0419,0.1374,-0.0201,0.1007,,,,,,,,,,,,,
1980,0.32,0.1494,0.074,-0.0332,0.1143,,,,,,,,,,,,,
1981,-0.05,-0.0923,0.051,0.0846,0.1403,,,,,,,,,,,,,
1982,0.20,0.196,0.0056,0.2905,0.1061,,,,,,,,,,,,,
1983,0.22,0.2027,0.0475,0.1619,0.0861,,,,,,,,,,,,,
1984,0.06,-0.0374,0.0468,0.1562,0.0952,,,,,,,,,,,,,
1985,0.31,0.2766,0.0747,0.2386,0.0748,,,,,,,,,,,,,
1986,0.18,0.2258,0.0961,0.2149,0.0598,,,,,,,,,,,,,
1987,0.06,0.0226,0.0788,0.0229,0.0578,,,,,,,,,,,,,
1988,0.17,0.1185,0.0721,0.1512,0.0667,,,,,,,,,,,,,
1989,0.31,0.2696,0.0438,0.1579,0.0811,,,,,,,,,,,,,
1990,-0.03,-0.0434,-0.0069,0.0614,0.0749,,,,,,,,,,,,,
1991,0.30,0.2032,-0.0016,0.1785,0.0538,,,,,,,,,,,,,
1992,0.07,0.0417,0.0082,0.1217,0.0343,,,,,,,,,,,,,
1993,0.10,0.1372,0.0216,0.1643,0.03,,,,,,,,,,,,,
1994,0.01,0.0214,0.0251,-0.0132,0.0425,,,,,,,,,,,,,
1995,0.37,0.3345,0.018,0.2016,0.0549,,,,,,,,,,,,,
1996,0.23,0.2601,0.0242,0.0479,0.0501,,,,,,,,,,,,,
1997,0.33,0.2264,0.0402,0.1183,0.0506,,,,,,,,,,,,,
1998,0.28,0.161,0.0645,0.0795,0.0478,,,,,,,,,,,,,
1999,0.21,0.2522,0.0768,0.0084,0.0464,,,,,,,,,,,,,
2000,-0.09,-0.0618,0.0928,0.0933,0.0582,,,,,,,,,,,,,
2001,-0.12,-0.071,0.0667,0.0782,0.0339,,,,,,,,,,,,,
2002,-0.22,-0.1676,0.0956,0.1218,0.016,,,,,,,,,,,,,
2003,0.28,0.2532,0.0982,0.1353,0.0101,,,,,,,,,,,,,
2004,0.11,0.0315,0.1364,0.0989,0.0137,,,,,,,,,,,,,
2005,0.05,-0.0061,0.1351,0.0492,0.0315,,,,,,,,,,,,,
2006,0.16,0.1629,0.0173,0.0705,0.0473,,,,,,,,,,,,,
2007,0.05,0.0643,-0.054,0.0315,0.0435,,,,,,,,,,,,,
2008,-0.37,-0.3384,-0.12,-0.0507,0.0137,,,,,,,,,,,,,
2009,0.26,0.1882,-0.0385,0.2333,0.0015,,,,,,,,,,,,,
2010,0.15,0.1102,-0.0412,0.0835,0.0014,,,,,,,,,,,,,
2011,0.02,0.0553,-0.0388,0.1258,0.0005,,,,,,,,,,,,,
2012,0.16,0.0726,0.0644,0.1012,0.0009,,,,,,,,,,,,,
2013,0.32,0.265,0.1072,-0.0106,0.0006,,,,,,,,,,,,,
2014,0.14,0.0752,0.0451,0.1038,0.0003,,,,,,,,,,,,,
2015,0.01,-0.0223,0.0521,-0.007,0.0005,,,,,,,,,,,,,
2016,0.12,0.1342,0.0531,0.1037,0.0032,,,,,,,,,,,,,
2017,0.22,0.2508,0.0621,0.0972,0.0093,,,,,,,,,,,,,
2018,-0.04,-0.0563,0.0453,-0.0276,0.0194,,,,,,,,,,,,,
2019,0.31,0.2234,0.0369,0.1533,0.0155,,,,,,,,,,,,,
2020,0.18,0.0725,0.1035,0.1041,0.0009,,,,,,,,,,,,,
2021,0.28,0.1873,0.1683,0.0093,0.0006,,,,,,,,,,,,,
